attribute description, element ns name, element local name
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,doNotOrganizeInFolder
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,doNotRelyOnCSS
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,doNotSaveAsSingleFile
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,doNotShadeFormData
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,doNotSuppressBlankLines
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,doNotTrackFormatting
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,doNotTrackMoves
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,doNotUseLongFileNames
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,doNotUseMarginsForDrawingGridOrigin
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,doNotValidateAgainstSchema
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,docPartUnique
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,dstrike
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,dynamicAddress
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,embedSystemFonts
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,embedTrueTypeFonts
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,emboss
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,enabled
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,evenAndOddHeaders
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,fHdr
