, refreshedDateIso, sml_CT_PivotCacheDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotCacheDefinition
, backgroundQuery, sml_CT_PivotCacheDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotCacheDefinition
, missingItemsLimit, sml_CT_PivotCacheDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotCacheDefinition
, createdVersion, sml_CT_PivotCacheDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotCacheDefinition
, refreshedVersion, sml_CT_PivotCacheDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotCacheDefinition
, minRefreshableVersion, sml_CT_PivotCacheDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotCacheDefinition
, recordCount, sml_CT_PivotCacheDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotCacheDefinition
, upgradeOnRefresh, sml_CT_PivotCacheDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotCacheDefinition
, tupleCache, sml_CT_PivotCacheDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotCacheDefinition
, supportSubquery, sml_CT_PivotCacheDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotCacheDefinition
, supportAdvancedDrill, sml_CT_PivotCacheDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotCacheDefinition
, count, sml_CT_PivotCacheRecords, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotCacheRecords
, name, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, cacheId, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, dataOnRows, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, dataPosition, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, autoFormatId, sml_AG_AutoFormat, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, applyNumberFormats, sml_AG_AutoFormat, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, applyBorderFormats, sml_AG_AutoFormat, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, applyFontFormats, sml_AG_AutoFormat, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, applyPatternFormats, sml_AG_AutoFormat, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, applyAlignmentFormats, sml_AG_AutoFormat, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, applyWidthHeightFormats, sml_AG_AutoFormat, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, dataCaption, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, grandTotalCaption, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, errorCaption, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, showError, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, missingCaption, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, showMissing, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, pageStyle, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, pivotTableStyle, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, vacatedStyle, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, tag, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
